Date,NYMEX Crude Oil,MCX Crude Oil,USDINR,Delhi,Mumbai,Chenni,Kolkata
6/16/2017,44.94,2879,64.52,65.48,76.7,68.02,68.03
6/17/2017,44.94,2879,64.52,65.23,76.46,67.76,67.84
6/18/2017,44.94,2879,64.52,64.91,76.14,67.42,67.58
6/19/2017,44.38,2861,64.4975,64.65,75.88,67.14,67.37
6/20/2017,43.49,2813,64.565,64.55,75.78,67.04,67.3
6/21/2017,42.64,2741,64.565,64.55,75.79,67.04,67.3
6/22/2017,42.78,2776,64.565,64.44,75.68,66.93,67.21
6/23/2017,43.08,2777,64.565,64.23,75.46,66.7,67.04
6/24/2017,43.08,2777,64.585,63.99,75.23,66.45,66.86
6/25/2017,43.08,2777,64.6275,63.71,74.95,66.15,66.64
6/26/2017,43.5,2801,64.535,63.55,74.79,65.98,66.51
6/27/2017,44.36,2860,64.5375,63.46,74.71,65.89,66.44
6/28/2017,44.86,2892,64.52,63.46,74.71,65.9,66.45
6/29/2017,44.89,2918,64.86,63.47,74.71,65.9,66.45
6/30/2017,46.17,2968,64.805,63.31,74.56,65.74,66.32
07/01/2017,46.17,2968,64.805,63.09,74.3,65.46,66.14
07/02/2017,46.17,2968,64.805,63.06,74.28,65.44,66.12
07/03/2017,47.14,3043,65.0975,63.13,74.35,65.51,66.18
07/04/2017,47.18,3068,64.9525,63.08,74.3,65.46,66.14
07/05/2017,45.08,2938,64.99,63.08,74.3,65.46,66.14
07/06/2017,45.44,2947,64.95,63.19,74.41,65.58,66.23
07/07/2017,44.34,2863,64.76,63.33,74.54,65.72,66.33
07/08/2017,44.34,2863,64.76,63.46,74.67,65.86,66.44
07/09/2017,44.34,2863,64.76,63.65,74.86,66.05,66.58
07/10/2017,44.57,2876,64.67,63.83,75.04,66.25,66.73
07/11/2017,45.26,2912,64.73,63.93,73.27,66.38,67.4
07/12/2017,45.65,2949,64.675,63.93,73.27,66.38,67.4
7/13/2017,46.17,2964,64.5475,63.91,73.25,66.36,67.38
7/14/2017,46.77,2990,64.5325,63.89,73.23,66.34,67.37
7/15/2017,46.77,2990,64.5325,64.03,73.37,66.49,67.48
7/16/2017,46.77,2990,64.5325,64.11,73.45,66.57,67.55
7/17/2017,46.27,2968,64.445,64.15,73.49,66.61,67.58
7/18/2017,46.61,2973,64.405,64.21,73.54,66.67,67.62
7/19/2017,47.33,3028,64.365,64.21,73.54,66.67,67.62
7/20/2017,46.84,3037,64.475,64.25,73.59,66.72,67.66
7/21/2017,45.58,2965,64.37,64.28,73.61,66.75,67.68
7/22/2017,45.58,2965,64.37,64.3,73.63,66.77,67.69
7/23/2017,45.58,2965,64.37,64.4,73.74,66.88,67.77
7/24/2017,46.42,2997,64.395,64.53,73.87,67.01,67.88
7/25/2017,47.86,3090,64.4175,64.57,73.9,67.05,67.91
7/26/2017,48.75,3132,64.395,64.57,73.91,67.06,67.91
7/27/2017,49.04,3161,64.125,64.59,73.92,67.07,67.92
7/28/2017,49.78,3192,64.38,64.69,74.02,67.18,68
7/29/2017,49.78,3192,64.38,64.87,74.2,67.37,68.14
7/30/2017,49.78,3192,64.38,65,74.33,67.51,68.24
7/31/2017,50.25,3183,64.4225,65.26,74.58,67.78,68.45
08/01/2017,49.26,3135,64.27,65.4,74.56,67.71,68.56
08/02/2017,49.68,3147,63.885,65.47,74.63,67.78,68.61
08/03/2017,48.93,3143,63.865,65.69,74.85,68.02,68.78
08/04/2017,49.6,3149,63.775,66,75.15,68.34,69.03
08/05/2017,49.6,3149,63.775,66.28,75.43,68.64,69.24
08/06/2017,49.6,3149,63.775,66.51,75.66,68.88,69.43
08/07/2017,49.39,3144,63.9725,66.66,75.8,69.03,69.54
08/08/2017,49.21,3135,63.805,66.75,75.89,69.13,69.61
08/09/2017,49.6,3157,63.985,66.81,75.96,69.2,69.66
08/10/2017,48.7,3128,64.21,66.96,76.1,69.35,69.78
08/11/2017,48.89,3127,64.2575,67.27,76.41,69.68,70.07
08/12/2017,48.89,3127,64.2575,67.5,76.64,69.92,70.29
8/13/2017,48.89,3127,64.2575,67.76,76.89,70.19,70.55
8/14/2017,47.63,3070,64.2575,67.95,77.09,70.4,70.74
8/15/2017,47.73,3070,64.2275,68.08,77.21,70.53,70.86
8/16/2017,46.97,3008,64.2275,68.14,77.27,70.59,70.92
8/17/2017,47.23,3021,64.22,68.24,77.37,70.7,71.02
8/18/2017,48.82,3104,64.21,68.29,77.42,70.76,71.07
8/19/2017,48.82,3104,64.21,68.37,77.5,70.83,71.14
8/20/2017,48.82,3104,64.21,68.38,77.51,70.85,71.16
8/21/2017,47.55,3038,64.1975,68.54,77.66,71.01,71.31
8/22/2017,47.84,3072,64.16,68.67,77.79,71.15,71.44
8/23/2017,48.41,3107,64.1225,68.73,77.86,71.22,71.5
8/24/2017,47.59,3041,64.0225,68.88,78,71.37,71.64
8/25/2017,47.93,3058,64.0225,69.01,78.13,71.51,71.77
8/26/2017,47.93,3058,64.0225,69.02,78.14,71.52,71.78
8/27/2017,47.93,3058,64.0225,69.06,78.18,71.56,71.82
8/28/2017,46.82,2970,63.915,69.09,78.22,71.6,71.86
8/29/2017,46.65,2962,64.0125,69.12,78.24,71.62,71.88
8/30/2017,46.24,2958,64.1975,69.12,78.24,71.62,71.88
8/31/2017,47.44,3038,64.0725,69.15,78.28,71.66,71.92
09/01/2017,47.63,3021,64.1825,69.26,78.38,71.78,72.02
09/02/2017,47.63,3021,64.1825,69.43,78.54,71.95,72.18
09/03/2017,47.63,3021,64.1825,69.55,78.67,72.08,72.3
09/04/2017,47.69,3049,64.2125,69.66,78.78,72.2,72.41
09/05/2017,48.9,3122,64.275,69.71,78.82,72.25,72.46
09/06/2017,49.37,3155,64.24,69.71,78.82,72.25,72.46
09/07/2017,49.38,3143,64.15,69.8,78.92,72.34,72.55
09/08/2017,47.94,3045,63.9,69.89,79,72.44,72.64
09/09/2017,47.94,3045,63.9,70.03,79.14,72.58,72.78
09/10/2017,47.94,3045,63.9,70.17,79.28,72.73,72.91
09/11/2017,48.53,3073,64.0325,70.3,79.41,72.87,73.05
09/12/2017,48.64,3092,64.145,70.38,79.48,72.95,73.12
9/13/2017,49.67,3162,64.0825,70.38,79.48,72.95,73.12
9/14/2017,50.07,3215,64.2125,70.39,79.5,72.97,73.13
9/15/2017,50.46,3191,64.16,70.43,79.54,73.01,73.17
9/16/2017,50.46,3191,64.16,70.48,79.59,73.06,73.22
9/17/2017,50.46,3191,64.16,70.51,79.62,73.09,73.25
9/18/2017,50.3,3208,64.21,70.51,79.62,73.09,73.25
9/19/2017,50.03,3171,64.405,70.52,79.63,73.1,73.26
9/20/2017,50.66,3286,64.3425,70.52,79.63,73.1,73.26
9/21/2017,50.74,3295,64.86,70.52,79.63,73.1,73.26
9/22/2017,50.71,3287,64.8425,70.47,79.58,73.05,73.21
9/23/2017,50.71,3287,64.8425,70.42,79.53,73,73.16
9/24/2017,50.71,3287,64.8425,70.39,79.5,72.97,73.13
9/25/2017,52.23,3406,65.16,70.41,79.52,72.99,73.15
9/26/2017,52.04,3402,65.46,70.41,79.52,72.99,73.15
9/27/2017,52.21,3416,65.7,70.41,79.52,72.99,73.15
9/28/2017,51.66,3373,65.74,70.46,79.57,73.04,73.2
