DATE,TIME,OPEN,HIGH,LOW,CLOSE,BollUp1,Boll1,BollDown1,BollUp2,Boll2,BollDown2,BollUp3,Boll3,BollDown3,SuperTrend,MACD,Signal,Histogram,RSI,%K,%D,ADX,ADXR,HistoricalVolatility,Returns,Target
17-Aug-18,15:29:00,11466.8,11468.95,11463.7,11465.55,11479.87,11468.03,11456.19,11478.18,11468.03,11457.88,11476.49,11468.03,11459.58,11471.75,-2.49,-2.65,0.16,39.42,41.16,38.26,20.15,18.4,0.24, ,
17-Aug-18,15:28:00,11467.45,11469.35,11466.1,11466.1,11481.57,11468.56,11455.55,11479.71,11468.56,11457.41,11477.85,11468.56,11459.27,11471.75,-2.53,-2.69,0.16,40.46,38.17,36.75,20.59,17.86,0.25,4.80E-05,1
17-Aug-18,15:27:00,11466.05,11467.8,11465.5,11467.45,11483.31,11469.1,11454.9,11481.28,11469.1,11456.92,11479.25,11469.1,11458.96,11471.75,-2.61,-2.73,0.13,43.05,41.52,35.72,22.06,18.2,0.25,0.000117731,1
17-Aug-18,15:26:00,11468.05,11468.05,11465.6,11466,11484.4,11469.51,11454.62,11482.27,11469.51,11456.75,11480.14,11469.51,11458.87,11471.75,-2.8,-2.76,-0.04,39.17,37.11,33.58,22.87,18.71,0.24,-0.000126453,0
17-Aug-18,15:25:00,11466.1,11468.45,11465.25,11467.75,11485.52,11470.05,11454.57,11483.31,11470.05,11456.78,11481.1,11470.05,11459,11471.75,-2.86,-2.75,-0.1,42.41,33.35,29.91,23.78,19.04,0.24,0.000152614,1
17-Aug-18,15:24:00,11464.8,11466.35,11464.7,11466.15,11487.09,11470.58,11454.08,11484.73,11470.58,11456.44,11482.37,11470.58,11458.79,11471.75,-3.07,-2.73,-0.34,38.06,33.6,25.13,24.76,19.55,0.23,-0.000139531,0
17-Aug-18,15:23:00,11469.7,11469.7,11465.25,11465.25,11488.47,11471.24,11454.01,11486.01,11471.24,11456.48,11483.55,11471.24,11458.94,11471.75,-3.13,-2.64,-0.48,35.51,33.03,19.68,24.79,19.73,0.22,-7.85E-05,0
17-Aug-18,15:22:00,11466.25,11469.4,11466.05,11469.25,11489.46,11471.97,11454.47,11486.96,11471.97,11456.97,11484.46,11471.97,11459.47,11471.75,-3.07,-2.52,-0.54,42.77,30.8,14.28,24.99,20.33,0.2,0.000348819,1
17-Aug-18,15:21:00,11464.3,11467.25,11464.3,11466.45,11490.73,11472.5,11454.26,11488.13,11472.5,11456.86,11485.52,11472.5,11459.47,11471.75,-3.35,-2.39,-0.96,34,18.77,9.8,25.47,20.79,0.17,-0.000244161,0
17-Aug-18,15:20:00,11463.15,11465,11462.3,11464.2,11491.35,11473.16,11454.96,11488.75,11473.16,11457.56,11486.15,11473.16,11460.16,11471.75,-3.38,-2.15,-1.23,25.48,9.44,7.65,24.9,20.63,0.15,-0.000196244,0
17-Aug-18,15:19:00,11464.1,11464.5,11461.45,11463.35,11491.66,11474.04,11456.43,11489.14,11474.04,11458.95,11486.63,11474.04,11461.46,11471.75,-3.14,-1.84,-1.3,21.94,6.37,6.92,22.94,20.21,0.23,-7.41E-05,0
17-Aug-18,15:18:00,11466.55,11467.7,11464,11464.3,11491.02,11474.98,11458.93,11488.73,11474.98,11461.22,11486.44,11474.98,11463.51,11474.59,-2.7,-1.51,-1.19,23.08,6.01,6.72,20.52,19.3,0.23,8.29E-05,1
17-Aug-18,15:17:00,11469,11469,11465.85,11466.85,11489,11475.59,11462.17,11487.09,11475.59,11464.09,11485.17,11475.59,11466,11475.9,-2.2,-1.22,-0.98,26.5,8.39,6.56,18.44,18.44,0.23,0.000222405,1
17-Aug-18,15:16:00,11471,11471,11467.25,11468.5,11487.37,11476.05,11464.72,11485.75,11476.05,11466.34,11484.13,11476.05,11467.96,11477.49,-1.78,-0.97,-0.81,29.09,8.05,6.85,16.66,17.71,0.23,0.000143883,1
17-Aug-18,15:15:00,11473,11474.45,11469.9,11470.95,11485.96,11476.35,11466.74,11484.59,11476.35,11468.12,11483.22,11476.35,11469.49,11480.22,-1.39,-0.77,-0.62,33.62,5.76,8.45,15.13,17.15,0.22,0.000213606,1
17-Aug-18,15:14:00,11472.8,11474.85,11472.35,11472.95,11485.15,11476.63,11468.11,11483.93,11476.63,11469.33,11482.72,11476.63,11470.55,11480.82,-1.13,-0.62,-0.51,38.12,5.41,10.94,14.35,16.97,0.22,0.000174338,1
17-Aug-18,15:13:00,11473.6,11474.1,11472.7,11472.95,11484.78,11476.78,11468.78,11483.64,11476.78,11469.92,11482.5,11476.78,11471.07,11480.82,-0.97,-0.49,-0.49,38.12,5.21,14.82,14.56,17.09,0.27,0,0
